Producto,Fecha 1,Provedor,Precio,,,,
Desinfectante Fabuloso 450 ml**,01/08/2023,Canasta,545,,,,
Desinfectante Fabuloso 750 ml,1/07/2025,Serrano ,835,,,,
Desinfectante Tronex 425 ml,1/07/2025,Canasta,435,,,,
Desodorante Dove Aclarante ,30/06/2019,Maxi,0,,,,
Desodorante Dove on roll,09/06/2023,Solis,820,,,,
Desodorante Lady Speed Barra,13/06/2025,Solis,1.900,,,,
Desodorante Rexona Barra M**,07/05/2025,Serrano ,2.100,,,,
Desodorante Rexona Clinical 48 g,04/06/2025,Serrano ,380,,,,
Desodorante Rexona Rollon H ,26/06/2025,Solís ,820,,,,
Desodorante Rexona Rollon M,26/06/2025,Serrano,780,,,,
Desodorante Speed Stick H Barra,14/05/2025,Serrano ,2.100,,,,
Desodorante Speedy Stick 24/7 gel,01/04/2025,Serrano ,3.000,,,,
Desodorante West Country 75ml,04/12/2024,Vicente,424,,,,
Destaqueador,24/03/2023,Canasta,1.133,,,,
Deterg Azul Nuviola 100gr x,05/02/2024,Canasta,125,,,,
Deterg Fab 400g*,26/06/2025,serrano,675,,,,
Deterg Fort 3 125g**,28/02/2025,El Llano,160,,,,
Deterg Fort 3 400g*,1/07/2025,Canasta,516,,,,
Deterg Fort 3 800 ,7/02/2025,Llano,979,,,,
Deterg Irex 125g,06/12/2024,El Llano,242,,,,
Deterg Irex 450g,09/04/2025,El Llano,700,,,,
Deterg Orix 450g*,06/12/2024,Llano,507,,,,
Deterg Surf Set Fuerza Flores 400,14/07/2025,Insoma,447,,,,
Deterg Unox Sobre 35g,22/11/2024,Insoma,111,,,,
Deterg Xedex 400ml **,08/01/2025,Serrano ,550,,,,
Deterg Xedex Máximo Poder 500 ml ,1/07/2025,Insoma,660,,,,
Deterg Xedex Poder 800g ,14/07/2025,Insoma ,1.051,,,,
Detergente Surf 1.1,14/07/2025,Insoma,1048,,,,
Dulce de Leche Nestlé 380g **,29/06/2020,pali,1.305,,,,
Dulce Molido Don Perucho 450g,03/06/2025,Canasta,638,,,,
Dulce Tapa Doña Tanita 750g,1/07/2025,Canasta ,673,,,,
Empanizador Knorr 0g,5/04/2024,Insoma,532,,,,
Empanizador Patitos Pescado 100g,04/06/2025,Canasta ,505,,,,
Empanizador Patitos Pollo 100g,04/06/2025,Canasta,505,,,,
Empanizador Vigui Pescado**,10/05/2025,Canasta,350,,,,
Empanizador Vigui Pollo,08/04/2025,Canasta ,360,,,,
Encendedor Atomic Stickers,22/06/2025,Solis,370,,,,
Encendedor Barato x 50,23/04/20025,Serrano ,110,,,,
Encendedor Big GD ,19/03/2025,Serrano ,560,,,,
Encendedor Cocina Lumen,11/10/2024,Solis,1.000,,,,
Encendedor Ronson Transp,24/06/2025,British,118,,,,
Endulzante Splenda 1x50,14/07/2025,Solis,800,,,,
Endulzante Splenda x50,20/05/2025,Solis,795,,,,
Endulzante Sweetlite bolsa 100,21/02/2025,Insoma,816,,,,
Enjuague Bucal Coolmint,01/03/2024,Me,7.540,,,,
Envase Ret 2.5 Lt,11/01/2024,CocaCola,530,,,,
Escarcha en Frasco,09/02/2021,Max,200,,,,
Escoba de colores con palo,16/07/2025,Serrano ,1.100,,,,
Escoba Mediana Tucán,25/10/2022,Gomufa,1.264,,,,
Escoba P/ Carro,31/01/2022,Gomufa,480,,,,
"Escuadra 12""",12/10/2023,Vicente,1.099,,,,
Esparadrapo 1.25x5M,23/06/2021,Vicente,730,,,,
Especies El Saborcito Ácido Borico,18/09/2024,Serrano ,250,,,,
Especies El Saborcito ajo polvo 20g,18/07/2024,Serrano ,250,,,,
Especies El Saborcito canela en polvo 15g,28/05/2025,Serrano ,250,,,,
Especies El Saborcito Chía 40g,21/08/2024,Serrano ,450,,,,
Especies El Saborcito Levadura 40g,21/08/2024,Serrano ,380,,,,
Especies el Saborcito Pasas ,16/07/2025,Serrano ,250,,,,
Especies El Saborcito Royal 50g,18/09/2024,Serrano ,250,,,,
Especies Molina Ajinomoto,06/03/2024,Fabiola,88,,,,
Especies Molina Bicarbonato,07/03/2025,Fabiola,88,,,,
Especies Molina canela Astilla,21/12/2024,Fabiola,88,,,,
Especies Molina Chan,18/01/2022,Molina,88,,,,
Especies Molina clavos,08/07/2024,Fabiola,88,,,,
Especies Molina Cremor,22/11/2023,Fabiola,88,,,,
Especies Molina linaza,08/05/2023,Fabiola,88,,,,
Especies Molina pimienta negra,14/09/2023,Fabiola,88,,,,
Especies Molina Royal,19/02/2025,Fabiola,88,,,,
Especies Pimienta Estrella 75g,24/05/2025,Canasta ,160,,,,
Espiral Gala,16/07/2025,Serrano,415,,,,
Espirales RAID Radiolitos Lavanda 12,17/01/2024,El Llano,595,,,,
Esponja Britex Doble uso,26/06/2025,Serrano ,290,,,,
Esponja con Malla x 4,20/06/2024,Serrano ,140,,,,
Esponja Negrita Doble uso x 2,1/07/2025,Canasta,930,,,,
Esponja Negrita Triple **,13/01/2024,canasta,243,,,,
Esponja Scott Brite,05/11/2024,Canasta ,602,,,,
Estuche cepillo,27/04/2024,Vicente,210,,,,
Facturero Copia quimica,08/11/2024,Vicente,480,,,,
Filtro Rey,13/02/2025,Canasta,421,,,,
Flan Vainilla Caramelo 85g,29/10/2024,RP,438,,,,
Folder Manila Color x125u,18/03/2025,Vicente ,135,,,,
Folder Manila Corriente x 100,26/08/2020,Cadena,37,,,,
Fósforos Quetzal x100,27/11/2024,Serrano ,31,,,,
Frasco Muestra Exes -Orina 120ml,22/11/2024,Vicente,150,,,,
Frasco Potaza 300GR*,08/12/2023,Llano,937,,,,
Frescoleche Dos Pinos Fresa litro,21/10/2024,Dos Pinos ,838,,,,
Frescoleche Dos Pinos Surt 250ml**,12/06/2025,DosPinos,495,,,,
Frijol Joya Rojo 750,2/05/2025,Vihusa,1227,,,,
Frijol La Familia Blanco 400g*,08/04/2025,Canasta,511,,,,
Frijol Luisiana Entero Enlatado 400**,04/07/2025,Tosty,833,,,,
Frijol Luisiana Rojo Bolsa 400g *,14/03/2025,Tosty,805,,,,
Frijol Luisina Negro Bolsa 400g,11/01/2025,Tosty,714,,,,
Frijol Rojo Joya 750g,22/03/2025,Tosty,1229,,,,
Frijol Santa Cruz Rojo 227g pic**,22/03/2025,RP,610,,,,
Frijol Santa Cruz Rojo 227g Sin pic,30/05/2025,RP,610,,,,
Frijol Santa Cruz Rojo 400g Pic,30/05/2025,RP,966,,,,
Frijol Santa Cruz Rojo 400g sin **,30/05/2025,RP,966,,,,
Gacilla Amarilla 1 x144,02/05/2023,Cadena,570,,,,
Gacilla Mediana 1 x144,11/11/2020,Cadena,454,,,,
Gacilla Niquel #4    x12,23/01/2025,Milenio ,17,,,,
Galleta Acemita Clavos,22/06/2023,Fabiola,850,,,,
Galleta Best x12Ga,29/05/2025,Fabiola ,125,,,,
Galleta Cremas Bic,8/08/2024,Gomufa,500,,,,
Galleta Formis,23/05/2022,Gomufa,83,,,,
Galleta Julieta G,06/03/2024,Fabiola,1.350,,,,
Galleta Jumbo fresa - Vainilla x12,30/07/2024,Gomufa ,83,,,,
Galleta La Moderna xtrabites,15/04/2025,Gomufa,135,,,,
Galleta Monserrat coco,17/08/2021,Fabiola,468,,,,
Galleta Nabisco Oreo Coca Cola x 12,15/10/2024,Alfa,206,,,,
Galleta Nabisco Oreo TB 155g,28/02/2025,Llano,480,,,,
Galleta Nabisco Oreo x12,10/07/2025,Serrano ,183,,,,
Galleta Nabisco Ritz x12,6/12/2024,Alfa,170,,,,
Galleta Pozuelo Artesanal Coco 300g,23/04/20025,Pozuelo,1.009,,,,
Galleta Pozuelo Bokita Clas TB,15/01/2025,Pozuelo,695,,,,
Galleta Pozuelo Bokita Clas x 12,18/05/2022,Pozuelo,2.399,,,,
Galleta Pozuelo Bokita Rell TB 144g,03/07/2025,Pozuelo,800,,,,
Galleta Pozuelo Bokita Rell x10,9/7/2025,Pozuelo,230,,,,
Galleta Pozuelo Canasta TB 124g,20/03/2025,Pozuelo,753,,,,
Galleta Pozuelo Chiky Fresa x 10,29/04/2024,Pozuelo,144,,,,
Galleta Pozuelo ChiKy TB choc 153g,23/04/20025,Pozuelo,708,,,,
Galleta Pozuelo Chiky x12,28/05/2025,Pozuelo,159,,,,
Galleta Pozuelo Chocomerendina,26/06/2025,Pozuelo,198,,,,
Galleta Pozuelo Clud Extra x12*,28/05/2025,Pozuelo,149,,,,
Galleta Pozuelo Cocana mini 84g,19/06/2025,Pozuelo,422,,,,
Galleta Pozuelo Cocana TB 167g,09/07/2025,Pozuelo,859,,,,
Galleta Pozuelo Crema Choy's x8,31/07/2024,Pozuelo,167,,,,
Galleta Pozuelo Cremas Mixtas x 12,19/06/2025,Pozuelo,152,,,,
Galleta Pozuelo Cremas TB V 127g,09/07/2025,Pozuelo,581,,,,
Galleta Pozuelo gatito,17/04/2024,Pozuelo,134,,,,
Galleta Pozuelo Mantequilla 10u*,21/05/2025,Pozuelo,145,,,,
Galleta Pozuelo Mantequilla TB 171g,03/07/2025,Pozuelo,840,,,,
Galleta Pozuelo María Animalitos x 8,02/02/2023,Pozuelo,127,,,,
Galleta Pozuelo María x8,22/05/2024,Pozuelo,820,,,,
Galleta Pozuelo Merendina x12,22/07/2024,Pozuelo,1.609,,,,
Galleta Pozuelo Nucita x 10,02/08/2024,Pozuelo,133,,,,
Galleta Pozuelo Recreo TB 167g,05/02/2025,Pozuelo,752,,,,
Galleta Pozuelo Recreo x10,09/07/2025,Pozuelo,160,,,,
Galleta Pozuelo Soda Classica,26/06/2025,Pozuelo,708,,,,
Galleta Pozuelo Soda Especies x 8,11/06/2025,Pozuelo,644,,,,
Galleta Pozuelo Yema TB 182G,09/04/2025,Pozuelo,858,,,,
Galleta Pozuelo Yema x6,09/07/2025,Pozuelo,252,,,,
Galleta Pozuelo Yipy 1x12,26/06/2025,Pozuelo,167,,,,
Galleta Pozuelo Yumbo Fibra,26/06/2025,Pozuelo,182,,,,
Galleta Rellenita Black Out x8,18/07/2025,Vicente,100,,,,
Galleta Rellenita Doble Delicia,05/06/2024,Vicente,100,,,,
Galleta Sorbeto Festival x 12,19/06/2025,Pozuelo ,156,,,,
Galleta Sorbeto Gallito 23 g,26/06/2025,Dos Pinos ,125,,,,
Galleta Sorbeto Jack's Fresa 25g,22/05/2025,jack's ,120,,,,
Galleta Tapas Pie Limón ,7/03/2025,Jack's ,132,,,,
Galleta Tohs Wafer x 8,29/01/2025,Pozuelo ,253,,,,
Galleta Trits Naranja tubo 128g,10/04/2025,Dos Pinos,500,,,,
Galleta Waffler Colombina fresa,3/03/2025,Gomufa ,58,,,,
Gancho Adhesivo x 9,23/04/20025,Vicente ,1250,,,,
Garbanzo Mama 400g,29/04/2025,Canasta,815,,,,
Garbanzo Toños 240g,26/09/2022,Repre,486,,,,
Garbanzos Toños 576G,21/02/2025,RP,910,,,,
Gasa Compresa 4 * 4,5/07/2025,Vicente,150,,,,
Gasa Prosán 3 pulgadas,22/11/2024,Vicente,870,,,,
Gel Barber sachet x 24,16/07/2025,Serrano ,96,,,,
Gel Barber Stylez frasco 200g¹³,10/07/2025,Serrano,750,,,,
Gel Belcolor Sachet x 24,29/08/2023,Gomufa,104,,,,
Gel EGO Frasco 200ml,13/09/2024,Insoma ,1.068,,,,
Gel EGO sachets 10g x 24s,22/11/2024,Insoma,86,,,,
Gel Frasco Power 200ml¹³,22/09/2023,Insoma,951,,,,
Gel Plastigel sachets x30,13/02/2025,Llano,84,,,,
Gel Sachet Doy Pack 100g,11/04/2025,Llano ,501,,,, 
Gel Xtreme Frasco 250,04/06/2024,Solis,875,,,,
Gelatina China Frutas x 40,28/05/2024,Fabiola ,26,,,,
Gelatina China mini x20,18/07/2025,Fabiola,27,,,,
Gelatina Corazón Frutas,12/06/2025,Felipe,83,,,,
Gelatina Diet-X Pura**Rika 60ml,1/07/2025,Canasta,445,,,,
Gelatina Génesis Grande x20**,8/07/2025,Génesis,90,,,,
Gelatina Lápiz x 30,18/07/2025,Fabiola,80,,,,
Gelatina Livean 22G¹,17/07/2025,Pozuelo ,391,,,,
Gelatina Royal Surt 80g,10/04/2025,Alfa,537,,,,
Globo #9 x50,19/02/2025,Vicente ,1.080,,,,
Golosina Angelito x50,14/03/2023,Solis,125,,,,
Golosina Anillo Oso x 24,29/05/2025,Felipe ,83,,,,
Golosina Antídoto Zombie x 24,21/12/2024,Fabiola ,83,,,,
Golosina Botoneta Best CH x24,21/06/2025,Fabiola,53,,,,
Golosina Botoneta Best M x24,21/06/2025,Fabiola,53,,,,
Golosina Botoneta Dandy Chocodisk,05/12/2023,Gomufa,83,,,,
Golosina Brazalete x 48,29/05/2025,Fabiola,42,,,,
Golosina Cajeta Leche Delicia x30,03/07/2025,Felipe,40,,,,
Golosina Cajeta Mechuda coco¹³,19/06/2025,Felipe,240,,,,
Golosina Cajeta Surtida x40,05/06/2024,Felipe,80,,,,
Golosina Candy Ranch Tira x 30,09/02/2024,Fabiola ,60,,,,
Golosina Caramelo Líq Jelly Brush x 30,14/11/2024,Fabiola,83,,,,
Golosina Chisquetazo x 24,04/06/2025,Serrano ,120,,,,
Golosina Cono Choco Crunch x 20,8/05/2025,Fabiola ,83,,,,
Golosina Cono Marsmelo,07/03/2024,Felipe,40,,,,
Golosina Diana Cereza x24,18/07/2025,Fabiola ,125,,,,
Golosina Diana Nougat Fresa x 24,23/11/2023,Diana,50,,,,
Golosina Diana Perla x 12,02/07/2025,Fabiola ,125,,,,
Golosina Dooble Choco Brownie cake x 20,30/04/2025,Serrano ,80,,,,
Golosina Dulce Líq Rolon Candy x 12,16/07/2025,Serrano ,125,,,,
Golosina Dulce Tronador scar x 36,14/06/2024,Fabiola,83,,,,
Golosina Esferas Acidas 10 g x 30,26/06/2025,Felipe,80,,,,
Golosina Fruta Acida x50,24/09/2024,Fabiola,42,,,,
Golosina Fruty Dulce x 18,14/10/2024,Fabiola,83,,,,
Golosina Huevitos Dino 15  x 30 u,26/06/2025,Felipe,80,,,,
Golosina Lengua de Fruta x 60,12/06/2025,Serrano ,42,,,,
Golosina Limoncho Tira x40,10/07/2025,Serrano ,31,,,,
Golosina Locochas Chamoy x 60,22/02/2025,Fabiola,34,,,,
Golosina Lucas Muecas,11/03/2025,Gomufa Max,365,,,,
Golosina Maxi Tubo Winis x16,09/02/2024,Fabiola ,83,,,,
Golosina Mentas en Tira,29/05/2025,Fabiola ,42,,,,
Golosina Mini Minty x12,29/05/2025,Fabiola,192,,,,
Golosina Minty x 40,27/08/2024,Fabiola,60,,,,
Golosina Moneda Chocolate x 120,31/11/2023,Gomufa,21,,,,
Golosina Oka Loca Chicle,31/03/2023,Llano,120,,,,
Golosina Oka Loca Fusión x12,16/07/2025,Gomufa,125,,,,
Golosina Oka Loca Nano x24,08/05/2025,Fabiola,83,,    ,,
Golosina Pajilla Tattoo Stick Dinoloko,24/09/2024,Felipe ,80,,,,
Golosina Palillo Leche x50,18/07/2025,Fabiola,41,,,,
Golosina Pastacik x 24,21/06/2025,Fabiola,80,,,,
Golosina Pedrito x 24,29/10/2024,Gomufa,42,,,,
Golosina Pelo loco=Gelaso,07/03/2025,Fabiola ,80,,,,
Golosina Peloneta Chamoy x 10,29/05/2025,Fabiola ,231,,,,
Golosina Piedritas Sour 14 g x 30,18/07/2025,Felipe,80,,,,
Golosina polvi Finger x 30,08/08/2024,Fabiola,83,,,,
Golosina Polvo Sweet Pop,27/08/2024,Fabiola ,42,,,,
Golosina Push Pop x 24,03/07/2024,Serrano ,80,,,,
Golosina Skittles 61 g,27/08/2024,Fabiola ,500,,,,
"Golosina Slime Candy""Tubito""x 30",08/05/2025,Fabiola ,62,,,,
Golosina Soda Cola Lata x 30,08/02/2023,Fabiola,100,,,,
Golosina Soda Frutal Botellita 64,18/07/2025,Fabiola,21,,,,
Golosina Sour Tubes x 30 x 16g,08/05/2025,Felipe ,80,,,,
Golosina Súper Puper,09/06/2023,Fabiola,100,,,,
Golosina Tatuaje Neon x 30,09/08/2023,Felipe,83,,,,
Golosina Tatuaje Terror Largo x36,31/08/2023,Felipe,80,,,,
Golosina Tiras Ácidas 220g 1*20,26/07/2021,Delmiran,80,,,,
Golosina Turrón Maní x50,22/05/2025,Vicente,40,,,,
Golosina Turrón Mixto x 16,16/10/2024,Serrano ,83,,,,
Goma Barra Artline 21g,23/04/20025,Vicente,305,,,,
Goma Barra Artline 36g,19/06/2025,Vicente ,390,,,,
Goma Barra Pointer 21G,23/10/2024,Vicente,305,,,,
Goma Barra Pointer 36 G,13/09/2024,Vicente,390,,,,
Goma Barrilete 50g,20/03/2024,Gomufa,250,,,,
Goma Epoxi Steele cod 0617,20/03/2024,Vicente,1.120,,,,
Goma Fruwi 50g,12/12/2023,Gomufa,250,,,,
Goma Liquida 250g,05/06/2025,Vicente,710,,,,
Goma Líquida Pointer 120G*,09/01/2024,Vicente,481,,,,
Goma Líquida Pointer 40ml,05/06/2025,Vicente,160,,,,
Goma Líquida Pointer 60G,08/11/2024,Vicente,220,,,,
Goma Matrix 3G *súper glue,19/06/2025,Vicente,92,,,,
Goma Okay Loca 50g,12/12/2023,Gomufa ,250,,,,
Gomita Araña Yoloduck x 24,08/05/2025,Fabiola,83,,,,
Gomita Barrilete 50g,07/04/2025,Gomufa ,250,,,,
Gomita Docile Eucalipto x30,07/05/2025,Vicente ,64,,,,
"Gomita Docile Gelatines,Moras",18/07/2025,Fabiola,83,,,,
"Gomita Docile Unicornio,""pica color""",6/06/2025,Fabiola ,80,,,,
Gomita Docile Yogurt tubo x30,07/05/2025,Vicente ,80,,,,
Gomita Dori Gusano x 12,16/04/2025,Felipe ,83,,,,
Gomita Guzzy Tira x 12,20/05/2025,Solís,80,,,,
Gomita Helada Candy Conitos,19/03/2025,Felipe,83,,,,
Gomita Oka Loca Crunchy 40g,1/07/2025,Gomufa ,250,,,,
Gomita Trululu Arco iris 80 g,22/11/2024,Gomufa,400,,,,
Gomita Trululu Aros 90g,13/02/2024,Gomufa ,400,,,,
Gomita Trululú Aros Frutos Rojos 40g,7/04/2025,Gomufa ,250,,,,
Gomita Trululu Aros x 50 U,18/07/2025,Fabiola,21,,,,
Gomita Trululu Bananos 80g,17/02/2025,Gomufa,400,,,,
Gomita Trululu Casquitos 90g,04/06/2025,Gomufa,400,,,,
Gomita Trululu Chocolores x12 x 30g,08/05/2025,Fabiola,233,,,,
Gomita Trululu Clasica 80g,22/11/2024,Gomufa ,400,,,,
Gomita Trululu Dinos 80 g,28/01/2025,Gomufa,400,,,,
Gomita Trululu Durazno 40g,01/07/2025,Serrano ,250,,,,
Gomita Trululu Feroz 18g x25,27/11/2024,Serrano ,80,,,,
Gomita Trululu Feroz 90g,22/11/2024,Gomufa ,400,,,,
Gomita Trululu Franki 90g,13/02/2024,Serrano,400,,,,
Gomita Trululú Franki ind x 50u,18/07/2025,Gomufa ,21,,,,
Gomita Trululu Fresita 90g,04/06/2025,Serrano ,400,,,,
Gomita Trululu gajito 90g,26/06/2024,Gomufa,400,,,,
Gomita Trululu Gusanos 80g,18/06/2025,Serrano ,400,,,,
Gomita Trululu Lengua 90 g,22/11/2024,Gomufa,400,,,,
Gomita Trululu Marsmelo 65g,06/02/2023,Llano,406,,,,
Gomita Trululú Mini Ositos 🍑 40g,6/06/2025,Gomufa ,250,,,,
Gomita Trululú Mix Silvestre 40 g,26/05/2025,Gomufa ,250,,,,
Gomita Trululu Monstry 75g ,22/11/2024,Gomufa,400,,,,
Gomita Trululu Nanos oka Loka 100g,30/04/2025,Gomufa ,500,,,,
Gomita Trululu Oros 80 g,18/06/2025,Serrano ,400,,,,
Gomita Trululú Oros ácido 40g,01/07/2025,0Gomufa,0,,,,
Gomita Trululu Oros x 50U,14/07/2025,Gomufa ,42,,,,
Gomita Trululu Pingüino 90 g,27/02/2024,Gomufa,400,,,,
Gomita Trululu Sabores 90 g,26/06/2025,Gomufa,400,,,,
Gomita Trululú Sabores x 12,8/04/2025,Fabiola ,160,,,,
Gomita Trululu Sandía 90 g Sabores,13/02/2024,Gomufa ,400,,,,
Gomita Trululu Splash sabores 90 g,24/09/2024,Gomufa,400,,,,
Gomita Trululu tropical 90 g,21/02/2023,Gomufa,400,,,,
Gomita Willy Fresita x 24,26/06/2025,Serrano -S,40,,,,
Gomita Willy Manguis x 12,13/06/2025,Solis ,80,,,,
Gomita Willy Sandía x 12,13/06/2025,Solis-Serr,80,,,,
Gomita Yupi My Watch Reloj x 12,8/05/2025,Fabiola ,104,,,,
Grapa Escolar,02/02/2022,Vicente,180,,,,
Grapa para Cable 20 pieza,13/10/2021,Vicente,280,,,,
Grapadora Escolar,12/05/2020,Maxi,400,,,,
Guante de Hule Talla M,22/05/2025,Vicente,560,,,,
Guante Latex Talla M x 50 pares,22/05/2025,Vicente ,40,,,,
Guaro El Añejos 345ml,16/07/2025,Serrano ,750,,,,
Halls Barra Cereza,19/06/2025,Alfa,267,,,,
Halls Barra Colores 25.2G,12/05/2025,Alfa,267,,,,
Halls Barra Estrastrong,07/05/2025,Serrano ,246,,,,
Halls Barra Extra Fuerte 25.2G,14/05/2025,Solis-Serr ,245,,,,
Halls Barra Limón y Miel 25.2 x9,02/07/2025,Alfa,291,,,,
Halls Barra Mora 25.2,02/07/2025,Alfa,291,,,,
Halls Barra Yerbabuena Mora,04/04/2025,Solis,285,,,,
Harina Gold Medal 1kG 1% Sabemas,06/06/2025,Maxi,720,,,,
Harina la Familia ,20/11/2024,Canasta ,649,,,,
Helado Alaska 1/4 galón (500g)**,02/07/2024,DosPinos,2.062,,,,
Helado Alaska Cajita 31/2 onz**,10/04/2025,DosPinos,458,,,,
Helado Alaska Choco Paleta 60g,17/08/2022,Dos Pinos,278,,,,
Helado Alaska Cono Vainilla(70G **,17/07/2025,DosPinos,480,,,,
Helado Alaska Paleta Choc 75G**x24,19/06/2025,Dos Pinos,163,,,,
Helado Alaska Palillo 75G*x30**,10/04/2025,Dos Pinos,125,,,,
Helado Del Sur Capuchino x12,30/07/2021,Del Sur,325,,,,
Helado Del Sur Feliz Natilla x30*,07/02/2020,Del Sur,3.000,,,,
Helado Del Sur Sabrosito surtx24*,30/07/2021,Del Sur,83,,,,
Helado DP Alaska Nieve 600g,15/10/2024,DP,1.600,,,,
Helado DP Caja 1/2lón**,17/08/2022,DP,5.323,,,,
Helado DP Caja 1/4 l (499g)*Crema,03/07/2025,DosPinos*,1.600,,,,
Helado DP Cajita 1 Pinta (272g)**,22/05/2025,DosPinos,1.655,,,,
Helado DP Cajita 1/2 Pinta (131g)**,17/05/2023,DosPinos,1.002,,,,
Helado DP Cero Grados,14/08/2023,Dos pinos,400,,,,
Helado DP Choco Bigger,17/07/2025,Dos Inos,399,,,,
Helado DP Choco Snack paleta x 24**,12/06/2025,DosPinos,368,,,,
Helado DP Chocoleta (75g)**,03/04/2025,DosPinos,717,,,,
Helado DP Cono Deleite 1/4,29/11/2023,Dos Pinos,480,,,,
Helado DP Cono krunchy krisp(75g)*,04/06/2025,DosPinos,717,,,,
Helado DP Mini sándwich **,17/07/2025,DosPinos,323,,,,
Helado DP Parejita Choc x 27**,04/09/2021,DosPinos,370,,,,
Helado DP Parejita Chocolate x 27,04/02/2025,Dos Pinos,373,,,,
Helado DP Pinoleta x 24,31/07/2021,DosPinos,165,,,,
Helado DP Sundae Chocolate**,22/05/2025,DosPinos,400,,,,
Helado DP Sundae Churchill**,08/11/2023,DosPinos,877,,,,
Helado DP Super Cono x 12,10/07/2023,DosPinos,400,,,,
Helado DP Trits,22/05/2025,DosPinos,1.041,,,,
Helado Génesis Capuchino ,18/07/2025,Genesis,250,,,,
Helado Genesis Cremix Coco x12*,20/05/2025,Génesis,250,,,,
Helado Genesis Cremix Fresa x12,06/06/2025,Génesis,250,,,,
Helado Genesis Cremix Granizadox12,12/06/2023,Génesis,250,,,,
Helado Genesis Cremix Mango,1/07/2025,Génesis,250,,,,
Helado Génesis Paleta Surt x 20,01/04/2025,Génesis,90,,,,
Helado Genesis Tapón Cond x20,18/07/2025,Génesis,150,,,,
Helado Nieve de Frutas x 12,17/05/2025,Fabiola ,83,,,,
Helado Sensación Amor de Fresa x 10,6/11/2024,Sensación,480,,,,
Helado Sensación Cremo Ring x 20,17/07/2025,Sensación,160,,,,
Helado Sensación Fripo x 8,5/09/2024,Sensación,440,,,,
Helado sensación Paquita Coco x 20,1/08/2024,Sensación,279,,,,
Helado Sensación Pinta Crema Chip,13/02/2025,Sensación,1400,,,,
Helado Sensación Rin Natilla Fresa x 10 ,1/08/2024,Sensación,467,,,,
Helado Sensación Sundae surtido x 6,9/10/2024,Sensación,560,,,,
Helado Sensación Yupi 70 g x 20,26/06/2025,Sensación,120,,,,
